run,method,scenario,seed,status,error,path
full__polygarbor_aug__seed43,polygarbor_aug,full,43,complete,,runs/2026-09-12/full__polygarbor_aug__seed43
full__polygarbor_p3__seed42,polygarbor_p3,full,42,complete,,runs/2026-09-12/full__polygarbor_p3__seed42
full__polygarbor_p3__seed43,polygarbor_p3,full,43,complete,,runs/2026-09-12/full__polygarbor_p3__seed43
full__polygarbor_p3_aug__seed42,polygarbor_p3_aug,full,42,complete,,runs/2026-09-12/full__polygarbor_p3_aug__seed42
full__polygarbor_p3_aug__seed43,polygarbor_p3_aug,full,43,complete,,runs/2026-09-12/full__polygarbor_p3_aug__seed43
full__polygarbor_p5__seed42,polygarbor_p5,full,42,complete,,runs/2026-09-12/full__polygarbor_p5__seed42
full__polygarbor_p5__seed43,polygarbor_p5,full,43,complete,,runs/2026-09-12/full__polygarbor_p5__seed43
full__resnet18__seed42,resnet18,full,42,complete,,runs/2026-09-12/full__resnet18__seed42
full__resnet18__seed43,resnet18,full,43,complete,,runs/2026-09-12/full__resnet18__seed43
full__resnet18_imagenet__seed42,resnet18_imagenet,full,42,complete,,runs/2026-09-12/full__resnet18_imagenet__seed42
full__resnet18_imagenet__seed43,resnet18_imagenet,full,43,complete,,runs/2026-09-12/full__resnet18_imagenet__seed43
full__yolo11n__seed42,yolo11n,full,42,complete,,runs/2026-09-12/full__yolo11n__seed42
full__yolo11n__seed43,yolo11n,full,43,complete,,runs/2026-09-12/full__yolo11n__seed43
full__yolo11n_random__seed42,yolo11n_random,full,42,complete,,runs/2026-09-12/full__yolo11n_random__seed42
full__yolo11n_random__seed43,yolo11n_random,full,43,complete,,runs/2026-09-12/full__yolo11n_random__seed43
imbalance__polygarbor__seed42,polygarbor,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor__seed42
imbalance__polygarbor_aug__seed42,polygarbor_aug,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor_aug__seed42
imbalance__polygarbor_p3__seed42,polygarbor_p3,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor_p3__seed42
imbalance__polygarbor_p3_aug__seed42,polygarbor_p3_aug,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor_p3_aug__seed42
imbalance__polygarbor_p5__seed42,polygarbor_p5,imbalance,42,complete,,runs/2026-09-12/imbalance__polygarbor_p5__seed42
imbalance__resnet18__seed42,resnet18,imbalance,42,complete,,runs/2026-09-12/imbalance__resnet18__seed42
imbalance__resnet18_imagenet__seed42,resnet18_imagenet,imbalance,42,complete,,runs/2026-09-12/imbalance__resnet18_imagenet__seed42
imbalance__yolo11n__seed42,yolo11n,imbalance,42,complete,,runs/2026-09-12/imbalance__yolo11n__seed42
imbalance__yolo11n_random__seed42,yolo11n_random,imbalance,42,complete,,runs/2026-09-12/imbalance__yolo11n_random__seed42
label_noise__polygarbor__seed42,polygarbor,label_noise,42,complete,,runs/2026-09-12/label_noise__polygarbor__seed42
label_noise__polygarbor_aug__seed42,polygarbor_aug,label_noise,42,complete,,runs/2026-09-12/label_noise__polygarbor_aug__seed42
label_noise__polygarbor_p3__seed42,polygarbor_p3,label_noise,42,complete,,runs/2026-09-12/label_noise__polygarbor_p3__seed42
label_noise__polygarbor_p3_aug__seed42,polygarbor_p3_aug,label_noise,42,complete,,runs/2026-09-12/label_noise__polygarbor_p3_aug__seed42
label_noise__polygarbor_p5__seed42,polygarbor_p5,label_noise,42,complete,,runs/2026-09-12/label_noise__polygarbor_p5__seed42
label_noise__resnet18__seed42,resnet18,label_noise,42,complete,,runs/2026-09-12/label_noise__resnet18__seed42
label_noise__resnet18_imagenet__seed42,resnet18_imagenet,label_noise,42,complete,,runs/2026-09-12/label_noise__resnet18_imagenet__seed42
label_noise__yolo11n__seed42,yolo11n,label_noise,42,complete,,runs/2026-09-12/label_noise__yolo11n__seed42
label_noise__yolo11n_random__seed42,yolo11n_random,label_noise,42,complete,,runs/2026-09-12/label_noise__yolo11n_random__seed42
source_a__polygarbor__seed42,polygarbor,source_a,42,complete,,runs/2026-09-12/source_a__polygarbor__seed42
source_a__polygarbor_aug__seed42,polygarbor_aug,source_a,42,complete,,runs/2026-09-12/source_a__polygarbor_aug__seed42
source_a__polygarbor_p3__seed42,polygarbor_p3,source_a,42,complete,,runs/2026-09-12/source_a__polygarbor_p3__seed42
source_a__polygarbor_p3_aug__seed42,polygarbor_p3_aug,source_a,42,complete,,runs/2026-09-12/source_a__polygarbor_p3_aug__seed42
source_a__polygarbor_p5__seed42,polygarbor_p5,source_a,42,complete,,runs/2026-09-12/source_a__polygarbor_p5__seed42
source_a__resnet18__seed42,resnet18,source_a,42,complete,,runs/2026-09-12/source_a__resnet18__seed42
source_a__resnet18_imagenet__seed42,resnet18_imagenet,source_a,42,complete,,runs/2026-09-12/source_a__resnet18_imagenet__seed42
source_a__yolo11n__seed42,yolo11n,source_a,42,complete,,runs/2026-09-12/source_a__yolo11n__seed42
source_a__yolo11n_random__seed42,yolo11n_random,source_a,42,complete,,runs/2026-09-12/source_a__yolo11n_random__seed42
source_b__polygarbor__seed42,polygarbor,source_b,42,complete,,runs/2026-09-12/source_b__polygarbor__seed42
source_b__polygarbor_aug__seed42,polygarbor_aug,source_b,42,complete,,runs/2026-09-12/source_b__polygarbor_aug__seed42
source_b__polygarbor_p3__seed42,polygarbor_p3,source_b,42,complete,,runs/2026-09-12/source_b__polygarbor_p3__seed42
source_b__polygarbor_p3_aug__seed42,polygarbor_p3_aug,source_b,42,complete,,runs/2026-09-12/source_b__polygarbor_p3_aug__seed42
source_b__polygarbor_p5__seed42,polygarbor_p5,source_b,42,complete,,runs/2026-09-12/source_b__polygarbor_p5__seed42
source_b__resnet18__seed42,resnet18,source_b,42,complete,,runs/2026-09-12/source_b__resnet18__seed42
source_b__resnet18_imagenet__seed42,resnet18_imagenet,source_b,42,complete,,runs/2026-09-12/source_b__resnet18_imagenet__seed42
source_b__yolo11n__seed42,yolo11n,source_b,42,complete,,runs/2026-09-12/source_b__yolo11n__seed42
source_b__yolo11n_random__seed42,yolo11n_random,source_b,42,complete,,runs/2026-09-12/source_b__yolo11n_random__seed42
